2026-08-14 14:24:56.086 | INFO     | __main__:main:64 | ===== 每日批处理 2026-08-14 =====
2026-08-14 14:24:56.094 | INFO     | __main__:main:79 | 增量更新 999 只股票日线至 2026-08-14 ...
2026-08-14 14:24:56.095 | INFO     | data.downloader:download_batch_daily:235 | 开始下载 999 只股票日线 (2025-03-02 ~ 2026-08-14)
2026-08-14 14:24:56.917 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000012 (1212 条)
2026-08-14 14:25:00.197 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000012 (1212 条)
2026-08-14 14:25:00.212 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000012 (1360 条)
2026-08-14 14:25:00.231 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000028 (1212 条)
2026-08-14 14:25:03.465 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000028 (1212 条)
2026-08-14 14:25:03.476 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000028 (1360 条)
2026-08-14 14:25:03.486 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000029 (1212 条)
2026-08-14 14:25:06.853 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000029 (1212 条)
2026-08-14 14:25:06.865 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000029 (1360 条)
2026-08-14 14:25:06.878 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000030 (1212 条)
2026-08-14 14:25:10.361 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000030 (1212 条)
2026-08-14 14:25:10.373 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000030 (1360 条)
2026-08-14 14:25:10.389 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000035 (1212 条)
2026-08-14 14:25:13.724 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000035 (1212 条)
2026-08-14 14:25:13.733 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000035 (1360 条)
2026-08-14 14:25:13.744 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000048 (1212 条)
2026-08-14 14:25:16.753 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000048 (1212 条)
2026-08-14 14:25:16.766 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000048 (1360 条)
2026-08-14 14:25:16.788 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000049 (1206 条)
2026-08-14 14:25:20.122 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000049 (1206 条)
2026-08-14 14:25:20.132 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000049 (1354 条)
2026-08-14 14:25:20.152 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000058 (1212 条)
2026-08-14 14:25:23.520 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000058 (1212 条)
2026-08-14 14:25:23.535 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000058 (1360 条)
2026-08-14 14:25:23.547 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000059 (1212 条)
2026-08-14 14:25:26.948 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000059 (1212 条)
2026-08-14 14:25:26.956 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000059 (1360 条)
2026-08-14 14:25:26.968 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000061 (1212 条)
2026-08-14 14:25:30.412 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000061 (1212 条)
2026-08-14 14:25:30.420 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000061 (1360 条)
2026-08-14 14:25:30.432 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000065 (1206 条)
2026-08-14 14:25:33.487 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000065 (1206 条)
2026-08-14 14:25:33.499 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000065 (1354 条)
2026-08-14 14:25:33.513 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000089 (1212 条)
2026-08-14 14:25:36.854 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000089 (1212 条)
2026-08-14 14:25:36.867 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000089 (1360 条)
2026-08-14 14:25:36.877 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000099 (1212 条)
2026-08-14 14:25:40.294 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000099 (1212 条)
2026-08-14 14:25:40.307 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000099 (1360 条)
2026-08-14 14:25:40.320 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000156 (1212 条)
2026-08-14 14:25:43.457 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000156 (1212 条)
2026-08-14 14:25:43.466 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000156 (1360 条)
2026-08-14 14:25:43.487 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000403 (1210 条)
2026-08-14 14:25:46.794 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000403 (1210 条)
2026-08-14 14:25:46.805 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000403 (1358 条)
2026-08-14 14:25:46.823 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000420 (1195 条)
2026-08-14 14:25:49.924 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000420 (1195 条)
2026-08-14 14:25:49.933 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000420 (1343 条)
2026-08-14 14:25:49.945 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000422 (1211 条)
2026-08-14 14:25:53.071 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000422 (1211 条)
2026-08-14 14:25:53.082 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000422 (1359 条)
2026-08-14 14:25:53.099 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000498 (1212 条)
2026-08-14 14:25:56.442 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000498 (1212 条)
2026-08-14 14:25:56.449 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000498 (1360 条)
2026-08-14 14:25:56.465 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000503 (1212 条)
2026-08-14 14:25:59.998 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000503 (1212 条)
2026-08-14 14:26:00.006 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000503 (1360 条)
2026-08-14 14:26:00.022 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000506 (1200 条)
2026-08-14 14:26:03.113 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000506 (1200 条)
2026-08-14 14:26:03.124 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000506 (1348 条)
2026-08-14 14:26:03.142 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000534 (1212 条)
2026-08-14 14:26:06.320 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000534 (1212 条)
2026-08-14 14:26:06.331 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000534 (1360 条)
2026-08-14 14:26:06.343 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000543 (1212 条)
2026-08-14 14:26:09.527 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000543 (1212 条)
2026-08-14 14:26:09.539 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000543 (1360 条)
2026-08-14 14:26:09.563 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000550 (1212 条)
2026-08-14 14:26:12.789 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000550 (1212 条)
2026-08-14 14:26:12.799 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000550 (1360 条)
2026-08-14 14:26:12.823 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000552 (1201 条)
2026-08-14 14:26:16.097 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000552 (1201 条)
2026-08-14 14:26:16.108 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000552 (1339 条)
2026-08-14 14:26:16.120 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000555 (1212 条)
2026-08-14 14:26:19.422 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000555 (1212 条)
2026-08-14 14:26:19.431 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000555 (1360 条)
2026-08-14 14:26:19.447 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000563 (1212 条)
2026-08-14 14:26:22.557 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000563 (1212 条)
2026-08-14 14:26:22.567 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000563 (1360 条)
2026-08-14 14:26:22.577 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000567 (1212 条)
2026-08-14 14:26:25.761 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000567 (1212 条)
2026-08-14 14:26:25.773 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000567 (1360 条)
2026-08-14 14:26:25.788 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000581 (1212 条)
2026-08-14 14:26:28.979 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000581 (1212 条)
2026-08-14 14:26:28.986 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000581 (1360 条)
2026-08-14 14:26:29.006 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000600 (1212 条)
2026-08-14 14:26:32.481 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000600 (1212 条)
2026-08-14 14:26:32.492 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000600 (1360 条)
2026-08-14 14:26:32.504 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000603 (1196 条)
2026-08-14 14:26:35.951 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000603 (1196 条)
2026-08-14 14:26:35.960 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000603 (1344 条)
2026-08-14 14:26:35.972 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000612 (1202 条)
2026-08-14 14:26:39.370 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000612 (1202 条)
2026-08-14 14:26:39.381 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000612 (1350 条)
2026-08-14 14:26:39.391 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000620 (1209 条)
2026-08-14 14:26:42.234 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000620 (1209 条)
2026-08-14 14:26:42.245 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000620 (1357 条)
2026-08-14 14:26:42.264 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000628 (1202 条)
2026-08-14 14:26:45.466 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000628 (1202 条)
2026-08-14 14:26:45.477 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000628 (1350 条)
2026-08-14 14:26:45.494 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000636 (1212 条)
2026-08-14 14:26:49.027 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000636 (1212 条)
2026-08-14 14:26:49.038 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000636 (1360 条)
2026-08-14 14:26:49.062 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000650 (1212 条)
2026-08-14 14:26:52.051 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000650 (1212 条)
2026-08-14 14:26:52.059 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000650 (1360 条)
2026-08-14 14:26:52.070 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000672 (1212 条)
2026-08-14 14:26:55.267 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000672 (1212 条)
2026-08-14 14:26:55.278 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000672 (1360 条)
2026-08-14 14:26:55.293 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000676 (1212 条)
2026-08-14 14:26:58.693 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000676 (1212 条)
2026-08-14 14:26:58.704 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000676 (1360 条)
2026-08-14 14:26:58.716 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000680 (1212 条)
2026-08-14 14:27:01.973 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000680 (1212 条)
2026-08-14 14:27:01.981 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000680 (1360 条)
2026-08-14 14:27:01.993 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000681 (1212 条)
2026-08-14 14:27:05.152 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000681 (1212 条)
2026-08-14 14:27:05.161 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000681 (1360 条)
2026-08-14 14:27:05.179 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000682 (1212 条)
2026-08-14 14:27:08.568 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000682 (1212 条)
2026-08-14 14:27:08.575 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000682 (1360 条)
2026-08-14 14:27:08.587 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000685 (1212 条)
2026-08-14 14:27:11.927 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000685 (1212 条)
2026-08-14 14:27:11.934 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000685 (1360 条)
2026-08-14 14:27:11.947 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000686 (1212 条)
2026-08-14 14:27:14.876 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000686 (1212 条)
2026-08-14 14:27:14.883 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000686 (1360 条)
2026-08-14 14:27:14.902 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000688 (1212 条)
2026-08-14 14:27:18.203 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000688 (1212 条)
2026-08-14 14:27:18.213 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000688 (1360 条)
2026-08-14 14:27:18.224 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000690 (1212 条)
2026-08-14 14:27:21.540 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000690 (1212 条)
2026-08-14 14:27:21.552 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000690 (1360 条)
2026-08-14 14:27:21.566 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000712 (1212 条)
2026-08-14 14:27:24.687 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000712 (1212 条)
2026-08-14 14:27:24.697 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000712 (1360 条)
2026-08-14 14:27:24.709 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000719 (1212 条)
2026-08-14 14:27:28.048 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000719 (1212 条)
2026-08-14 14:27:28.059 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000719 (1360 条)
2026-08-14 14:27:28.070 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000727 (1211 条)
2026-08-14 14:27:31.351 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000727 (1211 条)
2026-08-14 14:27:31.361 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000727 (1359 条)
2026-08-14 14:27:31.371 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000758 (1212 条)
2026-08-14 14:27:34.683 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000758 (1212 条)
2026-08-14 14:27:34.693 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000758 (1360 条)
2026-08-14 14:27:34.704 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000762 (1212 条)
2026-08-14 14:27:37.735 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000762 (1212 条)
2026-08-14 14:27:37.747 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000762 (1360 条)
2026-08-14 14:27:37.759 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000766 (1212 条)
2026-08-14 14:27:40.783 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000766 (1212 条)
2026-08-14 14:27:40.795 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000766 (1360 条)
2026-08-14 14:27:40.804 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000767 (1212 条)
2026-08-14 14:27:43.997 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000767 (1212 条)
2026-08-14 14:27:44.005 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000767 (1360 条)
2026-08-14 14:27:44.024 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000778 (1212 条)
2026-08-14 14:27:47.046 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000778 (1212 条)
2026-08-14 14:27:47.125 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000778 (1360 条)
2026-08-14 14:27:47.137 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000791 (1203 条)
2026-08-14 14:27:50.223 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000791 (1203 条)
2026-08-14 14:27:50.235 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000791 (1351 条)
2026-08-14 14:27:50.245 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000795 (1212 条)
2026-08-14 14:27:53.673 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000795 (1212 条)
2026-08-14 14:27:53.683 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000795 (1360 条)
2026-08-14 14:27:53.697 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000801 (1202 条)
2026-08-14 14:27:57.101 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000801 (1202 条)
2026-08-14 14:27:57.112 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000801 (1350 条)
2026-08-14 14:27:57.129 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000810 (1209 条)
2026-08-14 14:28:00.492 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000810 (1209 条)
2026-08-14 14:28:00.501 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000810 (1357 条)
2026-08-14 14:28:00.513 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000811 (1212 条)
2026-08-14 14:28:03.921 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000811 (1212 条)
2026-08-14 14:28:03.930 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000811 (1360 条)
2026-08-14 14:28:03.942 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000813 (1212 条)
2026-08-14 14:28:07.237 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000813 (1212 条)
2026-08-14 14:28:07.246 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000813 (1360 条)
2026-08-14 14:28:07.267 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000828 (1212 条)
2026-08-14 14:28:10.659 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000828 (1212 条)
2026-08-14 14:28:10.671 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000828 (1360 条)
2026-08-14 14:28:10.682 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000829 (1212 条)
2026-08-14 14:28:13.998 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000829 (1212 条)
2026-08-14 14:28:14.006 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000829 (1360 条)
2026-08-14 14:28:14.018 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000833 (1212 条)
2026-08-14 14:28:17.117 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000833 (1212 条)
2026-08-14 14:28:17.126 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000833 (1360 条)
2026-08-14 14:28:17.137 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000837 (1211 条)
2026-08-14 14:28:20.436 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000837 (1211 条)
2026-08-14 14:28:20.447 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000837 (1359 条)
2026-08-14 14:28:20.458 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000848 (1212 条)
2026-08-14 14:28:23.703 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000848 (1212 条)
2026-08-14 14:28:23.713 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000848 (1360 条)
2026-08-14 14:28:23.729 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000860 (1212 条)
2026-08-14 14:28:26.992 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000860 (1212 条)
2026-08-14 14:28:27.004 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000860 (1360 条)
2026-08-14 14:28:27.015 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000875 (1202 条)
2026-08-14 14:28:30.359 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000875 (1202 条)
2026-08-14 14:28:30.368 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000875 (1350 条)
2026-08-14 14:28:30.385 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000880 (1202 条)
2026-08-14 14:28:33.953 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000880 (1202 条)
2026-08-14 14:28:33.964 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000880 (1350 条)
2026-08-14 14:28:33.974 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000885 (1202 条)
2026-08-14 14:28:37.016 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000885 (1202 条)
2026-08-14 14:28:37.028 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000885 (1350 条)
2026-08-14 14:28:37.041 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000899 (1207 条)
2026-08-14 14:28:40.100 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000899 (1207 条)
2026-08-14 14:28:40.112 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000899 (1355 条)
2026-08-14 14:28:40.125 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000901 (1212 条)
2026-08-14 14:28:43.163 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000901 (1212 条)
2026-08-14 14:28:43.176 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000901 (1360 条)
2026-08-14 14:28:43.189 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000902 (1212 条)
2026-08-14 14:28:46.260 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000902 (1212 条)
2026-08-14 14:28:46.271 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000902 (1360 条)
2026-08-14 14:28:46.283 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000913 (1212 条)
2026-08-14 14:28:49.615 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000913 (1212 条)
2026-08-14 14:28:49.625 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000913 (1360 条)
2026-08-14 14:28:49.641 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000917 (1212 条)
2026-08-14 14:28:52.860 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000917 (1212 条)
2026-08-14 14:28:52.872 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000917 (1360 条)
2026-08-14 14:28:52.885 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000923 (1212 条)
2026-08-14 14:28:56.224 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000923 (1212 条)
2026-08-14 14:28:56.234 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000923 (1360 条)
2026-08-14 14:28:56.249 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000927 (1212 条)
2026-08-14 14:28:59.407 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000927 (1212 条)
2026-08-14 14:28:59.415 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000927 (1360 条)
2026-08-14 14:28:59.433 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000928 (1212 条)
2026-08-14 14:29:02.656 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000928 (1212 条)
2026-08-14 14:29:02.667 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000928 (1360 条)
2026-08-14 14:29:02.690 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000930 (1212 条)
2026-08-14 14:29:05.836 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000930 (1212 条)
2026-08-14 14:29:05.848 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000930 (1360 条)
2026-08-14 14:29:05.867 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000935 (1212 条)
2026-08-14 14:29:09.278 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000935 (1212 条)
2026-08-14 14:29:09.290 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000935 (1360 条)
2026-08-14 14:29:09.302 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000950 (1212 条)
2026-08-14 14:29:12.630 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000950 (1212 条)
2026-08-14 14:29:12.638 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000950 (1360 条)
2026-08-14 14:29:12.654 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000962 (1212 条)
2026-08-14 14:29:15.674 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000962 (1212 条)
2026-08-14 14:29:15.686 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000962 (1360 条)
2026-08-14 14:29:15.702 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000966 (1211 条)
2026-08-14 14:29:19.197 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000966 (1211 条)
2026-08-14 14:29:19.207 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000966 (1359 条)
2026-08-14 14:29:19.223 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000969 (1212 条)
2026-08-14 14:29:22.666 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000969 (1212 条)
2026-08-14 14:29:22.675 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000969 (1360 条)
2026-08-14 14:29:22.694 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000970 (1206 条)
2026-08-14 14:29:25.902 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000970 (1206 条)
2026-08-14 14:29:25.912 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000970 (1354 条)
2026-08-14 14:29:25.926 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000973 (1202 条)
2026-08-14 14:29:29.050 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000973 (1202 条)
2026-08-14 14:29:29.061 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000973 (1350 条)
2026-08-14 14:29:29.072 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000990 (1212 条)
2026-08-14 14:29:32.074 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000990 (1212 条)
2026-08-14 14:29:32.087 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000990 (1360 条)
2026-08-14 14:29:32.102 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000998 (1212 条)
2026-08-14 14:29:35.216 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 000998 (1212 条)
2026-08-14 14:29:35.229 | DEBUG    | data.cache:put_daily:51 | 缓存写入: 000998 (1360 条)
2026-08-14 14:29:35.242 | DEBUG    | data.cache:get_daily:43 | 缓存命中: 001227 (960 条)
